latitude degree WGS84,longitude degree WGS84,altitude in meters AMSL,thermal probability in a circle with 250m radius around the hotspot
52.46346,6.81378,31,99
45.2712,5.81457,1317,99
48.08656,7.99686,732,99
53.32306,-1.73023,322,99
45.95666,13.73725,663,99
46.34707,7.81426,2548,99
50.99126,-2.08655,168,99
47.83115,19.14161,469,99
46.26701,13.16537,643,99
46.20404,13.7195,843,99
47.24388,7.5074,1077,99
47.3581,9.97626,1537,99
51.37234,-1.88747,158,99
44.66836,6.78335,1767,99
44.11135,3.09971,724,99
46.93538,12.24731,2820,99
47.11348,17.82032,267,99
47.32662,7.6304,911,99
45.51318,7.77368,1500,99
46.45592,8.18706,2191,99
46.86702,11.90748,2308,99
45.74796,6.03014,775,99
47.48221,10.5418,1803,99
46.85352,9.23826,1930,99
47.6216,18.20961,131,99
44.402,6.3649,1726,99
45.95306,6.4638,1676,99
45.30808,5.89065,857,99
44.74395,7.23223,1499,99
47.66477,12.03174,1331,99
45.62023,10.784,813,99
38.48979,22.33199,915,99
47.70614,12.58334,1630,99
45.82623,9.89511,1046,99
46.85352,12.26633,2130,99
46.22293,8.66765,1636,99
45.90989,8.64229,912,99
45.77495,6.06437,875,99
48.77995,10.09292,616,99
46.04032,11.31023,1427,99
46.23193,13.96676,1350,99
47.67377,12.60616,1709,99
45.30268,5.85388,1461,99
52.04642,9.44876,210,99
47.904,14.32435,1219,99
41.22696,15.26903,762,99
54.27337,-2.20828,449,99
48.99216,11.43069,367,99
47.60991,13.03729,1452,99
45.93507,6.85436,1969,99
47.65668,13.7829,1521,99
46.60614,7.62532,1749,99
46.40284,8.09323,2147,99
52.98623,20.51109,122,99
46.44872,23.53028,1199,99
45.38454,7.5987,976,99
47.73402,12.68224,1471,99
50.4987,9.923,749,99
47.14495,15.01796,1160,99
46.05561,6.69078,1446,99
50.23442,11.42689,546,99
46.88051,8.30372,1231,99
41.54557,13.81206,648,99
46.54857,7.11177,1272,99
43.78651,10.43275,257,99
42.07029,8.90224,908,99
45.80014,11.74136,472,99
51.73005,-2.25393,89,99
48.64685,8.16297,602,99
45.78395,11.63485,739,99
47.45613,12.49458,1832,99
48.76287,18.03081,867,99
40.77866,14.65404,145,99
46.7006,11.13144,1270,99
46.84093,8.5028,2744,99
45.94767,6.73516,1260,99
45.82442,11.78701,527,99
41.16666,14.53104,816,99
46.21484,12.83948,845,99
48.19448,3.64116,142,99
48.7188,12.09007,440,99
48.76916,13.82855,1286,99
47.4975,10.0777,1611,99
46.22833,13.25159,643,99
45.32607,5.91094,931,99
47.88781,14.16458,964,99
46.52698,8.23652,3060,99
51.51974,-1.70487,191,99
49.87757,7.01667,327,99
46.88861,12.1167,2400,99
54.59224,-3.04772,347,98
51.16293,12.4578,139,98
43.05494,12.66069,1082,98
51.71118,-2.30592,112,98
46.97676,9.42974,2244,98
47.47681,13.25286,1454,98
47.53976,10.21845,1293,98
46.8949,12.14587,2290,98
43.2835,27.11755,279,98
47.59912,13.02969,1258,98
47.24028,7.45034,1375,98
45.95306,13.75627,753,98
46.85712,8.32908,1975,98
46.65562,8.01207,2119,98
46.84813,6.60582,1047,98
48.21877,4.70504,164,98
47.29425,9.3321,1485,98
44.16625,11.34447,905,98
48.92744,18.28315,862,98
46.18695,9.88369,1107,98
47.10358,8.77923,951,98
50.93913,11.63485,382,98
45.83162,11.79716,652,98
41.87859,-7.72043,1454,98
47.2241,7.41103,1182,98
46.84273,7.90683,1204,98
41.85339,14.66672,826,98
45.50688,7.78256,1167,98
46.76807,11.25317,1758,98
48.59109,19.8403,741,98
47.55775,19.00213,398,98
46.45592,11.67543,2312,98
45.6643,10.55956,1122,98
43.59575,3.35585,292,98
45.03819,5.78287,865,98
46.50809,11.77814,2310,98
46.79505,8.19467,1943,98
47.27896,12.27901,2027,98
52.52365,-2.88414,304,98
41.15945,14.54245,873,98
45.32607,7.57587,833,98
48.51015,13.81714,738,98
44.84923,6.47902,1588,98
45.82982,9.43354,797,98
49.3625,9.09751,135,98
50.67039,16.22133,648,98
46.10689,11.98609,1258,98
45.53747,10.26791,525,98
49.447,6.09988,415,98
51.31662,8.42799,635,98
46.85892,11.76292,2293,98
49.91982,16.05522,341,98
49.77599,20.13829,698,98
46.63133,7.19673,1384,98
46.4964,8.21876,2774,98
52.46256,6.79983,27,98
49.39846,12.06598,373,98
49.99442,9.75562,219,98
45.33867,7.54417,1313,98
49.24205,8.02095,455,98
46.77796,13.15776,1836,98
48.48947,8.22257,809,98
45.77045,11.21386,1240,98
46.22023,13.67638,900,98
51.70489,17.83807,144,98
45.82803,9.20783,846,98
46.18605,12.34114,1349,98
46.72939,11.24683,1940,98
46.57106,7.12825,1541,98
51.70219,17.85456,137,98
45.94227,6.68191,1435,98
47.27356,10.36428,1703,98
43.43018,23.30076,364,98
48.78625,19.14034,901,98
47.74661,12.84328,1094,98
46.33628,25.32582,641,98
44.08436,6.4321,1670,98
52.68173,-3.06547,173,98
45.24151,14.67306,695,98
41.37457,21.2605,1191,98
46.02683,11.81745,1249,98
42.03879,0.76653,1577,98
47.44534,11.74897,1892,98
49.93959,14.33323,202,98
47.46332,12.20039,1687,98
40.43832,15.05981,331,98
45.07509,7.35016,904,98
48.11534,21.37335,348,98
49.26543,8.06914,493,98
46.47481,11.79969,2332,98
47.38328,9.9547,1353,98
46.97586,5.88178,640,98
42.33131,-0.60929,1213,98
41.23416,1.00872,726,98
38.2403,23.69132,510,98
46.87151,9.99528,2669,98
47.64229,12.4223,1052,98
46.92009,11.90748,2120,98
48.49216,8.23652,868,98
46.7051,7.82567,1344,98
46.86252,8.66638,904,98
43.21331,1.12665,244,98
48.02091,15.29693,679,98
51.37144,-1.819,190,98
46.21304,8.64482,1664,98
46.02143,7.1067,2084,98
44.01147,6.45493,1587,98
43.81351,6.81505,1527,98
49.42363,16.8452,625,98
47.28615,9.3993,1367,98
46.37586,8.0349,1777,98
48.01641,8.91492,680,98
41.43667,14.50568,959,98
46.27421,13.19073,1155,98
47.09459,8.82235,929,98
50.61016,11.3711,436,98
45.99534,12.13826,973,98
48.12703,8.08435,1035,98
45.83792,9.30167,1180,98
43.8675,3.63862,875,98
45.64901,10.81189,1329,98
50.70814,15.01416,735,98
42.99104,-0.19591,1380,98
51.57277,13.06012,80,98
45.2523,5.75624,1320,98
46.8967,8.35444,1596,98
45.29009,25.20408,1188,98
47.25018,27.18729,62,98
41.16846,-7.03822,694,98
50.45555,15.70143,586,98
47.28705,9.48426,1547,98
48.61897,20.77611,660,98
45.78215,6.40167,1255,98
43.56065,13.58635,158,98
47.56944,10.59126,1208,98
45.45291,7.69507,1100,98
47.82216,16.0362,877,98
46.9003,9.87862,1946,98
55.37641,25.23705,142,98
44.29762,5.76385,1323,98
45.83072,9.14443,1157,98
46.57376,14.40043,808,98
38.16464,34.16275,1769,98
49.03621,12.74057,652,98
47.6333,12.44259,1244,98
44.88792,5.21099,1412,98
41.84349,13.10196,948,98
46.4892,8.24159,2138,98
48.34557,13.97437,414,98
47.82845,14.2825,1366,98
46.57646,8.36332,2517,98
46.52248,8.26568,2687,98
47.2277,9.23573,1469,98
49.10722,15.46431,500,98
44.83213,34.27687,581,98
46.34617,12.95868,1629,98
47.81047,15.24748,1558,98
46.51799,8.14775,3505,98
46.53148,8.28977,2620,98
46.24992,13.63961,1294,98
47.92648,6.99004,976,98
48.37525,5.80443,321,98
46.85892,12.06218,2337,98
46.24632,13.68653,1487,98
47.17913,9.09117,1398,98
49.847,6.87084,250,98
46.04662,9.34731,1477,98
46.30749,8.69808,2211,98
44.09516,6.41942,1952,98
42.1018,1.77969,1533,98
48.63066,8.15917,605,98
46.87331,12.77861,2056,98
45.63462,3.11746,640,98
45.83702,9.18247,1296,98
45.81093,11.69318,939,98
47.70345,14.1202,1296,98
46.87601,17.50204,220,98
48.29881,9.05313,709,98
43.97818,10.50123,608,98
47.86982,14.29645,1143,98
46.46312,7.40722,2032,98
49.00565,11.45098,367,98
45.34496,5.84627,1671,98
46.71229,11.97341,2282,98
50.63533,14.07328,427,98
50.14993,16.82618,1013,98
45.77855,6.36109,1057,98
52.95658,-3.14282,198,98
46.0871,11.90621,1418,98
38.70775,16.13637,291,98
45.57705,6.12397,1163,98
41.35926,14.50061,1012,98
41.76068,13.67258,1193,98
45.84422,9.23319,894,98
45.74527,6.50311,1875,98
42.67692,25.44881,1014,98
46.20494,8.9352,1748,98
39.26152,8.41277,93,98
55.20844,24.69433,67,98
49.83802,6.87845,116,98
49.21598,7.96008,516,98
46.77346,13.06773,1916,98
42.49421,12.89527,941,98
41.89569,0.5294,619,98
47.27716,9.39043,1794,98
47.67377,11.78701,1107,98
45.07059,5.78794,607,98
51.30134,8.17565,463,98
45.54466,7.87259,1184,98
49.55397,18.28442,554,98
49.23846,12.9498,842,98
47.79967,13.79304,587,98
46.91469,8.41785,1240,98
48.86989,13.07787,782,98
47.68636,11.8986,1340,98
45.44751,5.91601,1552,98
46.87061,10.02191,2485,98
46.85442,11.69952,2010,98
51.17461,10.12969,276,98
39.39748,22.95713,352,98
45.75516,11.31404,1239,98
45.55546,6.04789,1084,98
47.60272,12.57953,1770,98
42.80202,13.25032,1554,98
44.63866,6.54115,1359,98
46.71679,7.51627,1166,98
46.16806,8.52309,1952,98
45.56895,5.72961,419,98
46.78336,13.14508,2181,98
45.72458,10.13857,1018,98
46.17256,12.13445,874,98
45.21362,5.968,1738,98
44.49019,1.9141,163,98
46.77616,13.02081,1776,98
46.43073,11.64499,2291,98
45.79384,11.6805,700,98
38.20337,23.26399,610,98
50.60477,8.44067,244,98
47.74212,13.35557,1427,98
43.15392,23.58734,969,98
47.47861,10.63817,1786,98
48.76377,8.41151,770,98
45.63552,24.61825,1769,98
45.84961,11.81618,849,98
45.61033,10.74849,624,98
46.33628,7.85991,2298,98
47.27176,9.37775,1802,98
46.38845,7.05978,2152,98
46.37946,11.59554,2455,97
46.19774,12.3982,1363,97
45.42322,6.16708,1642,97
51.7696,14.3104,64,97
39.72882,-0.84388,596,97
47.3572,9.96485,1282,97
47.00555,9.69983,2011,97
47.31133,8.93901,1174,97
47.44263,11.05662,1850,97
46.4856,8.19848,2842,97
48.78445,5.6827,305,97
45.60763,13.86659,321,97
46.15636,8.42545,1784,97
50.52117,11.32925,534,97
46.34347,13.15649,958,97
47.69715,12.89654,1329,97
46.93628,12.30944,2696,97
52.23966,6.70346,18,97
49.71846,20.17506,865,97
46.98126,12.577,2023,97
47.05682,9.82536,2169,97
47.31133,12.73043,1585,97
49.10183,15.48714,502,97
47.01455,9.67954,1920,97
45.54916,10.28693,812,97
46.96147,10.20324,2179,97
49.19352,8.007,399,97
47.67556,11.53341,1227,97
47.84105,16.06663,810,97
43.89899,7.59489,641,97
49.51711,12.03047,590,97
47.40936,9.5502,972,97
45.91079,9.98133,1281,97
52.66467,-6.47395,279,97
41.55997,12.98911,342,97
45.21812,5.73215,999,97
47.77269,8.66004,605,97
46.8922,8.40136,980,97
46.18515,12.22195,1198,97
47.77359,7.69633,1016,97
47.13326,11.2798,2557,97
40.37529,15.83458,1106,97
46.87241,8.31767,1981,97
47.94267,14.7428,816,97
46.12308,12.01399,1216,97
45.91708,6.24317,1261,97
48.64236,8.17058,751,97
52.66197,-6.7732,347,97
44.36961,5.68523,1242,97
45.99624,8.51802,1399,97
41.35746,1.22302,653,97
47.18992,15.46685,1185,97
